list name	name	label	coding	color	colorrgb
Consent	1	Yes			
Consent	2	No			
yesno	1	Yes			
yesno	2	No			
testvalid	1	Valid			
testvalid	2	Test			
gender	1	Male		Blue	
gender	2	Female		Pink	
list	1	List of beneficiaries to be interviewed 			
list	2	Replacement list			
phonestatus	1	Phone not ringing			
phonestatus	2	Phone ringing but not answered.			
phonestatus	3	Respondent answered but refused the interview 			
phonestatus	4	Respondent answered and accepted the interview			
marital	1	Married	1.0	Green	
marital	2	Single	0.0	Yellow	
marital	3	Divorced	0.0	Blue	
marital	4	Widower	0.0	Grey	
residency	1	IDP	-1.0	Yellow	
residency	2	Host Community	1.0	Green	
residency	3	Returnee	0.0	Blue	
residency	4	Refugee	-2.0	Orange	
flee_reason	1	Drought			
flee_reason	2	Lack of food			
flee_reason	3	Floods			
flee_reason	4	Conflict			
flee_reason	5	Lack of water			
flee_reason	6	Other			
period	1	1-3 months	1.0	Lightgreen	
period	2	4-6 months	2.5	Yellow	
period	3	About 1 year	6.0	orange	
period	4	1-2 years	9.0	red	
period	0	0.0	Green		
period	5	Over 2 years	15.0	darkred	
governorate	1	Amran			
governorate	2	Dhale			
governorate	3	Al Bayda			
governorate	4	Al Hudaydah			
governorate	5	Al Jawf			
governorate	6	Al Mahwit			
governorate	7	Amanat Al Asima			
governorate	8	Dhamar			
governorate	9	Hajjah			
governorate	10	Ibb			
governorate	11	Ma'rib			
governorate	12	Raymah			
governorate	13	Sa'dah			
governorate	14	Sana'a			
governorate	15	Taiz			
governorate	16	Aden			
governorate	17	Abyan			
governorate	18	Al Mahra			
governorate	19	Hadramaut			
governorate	20	Socotra			
governorate	21	Lahj			
governorate	22	Shabwah			
disp_times	1	Only one movement from the place of origin and now	1.0	Yellow	
disp_times		0	0	Green	
disp_times	2	Two or more movement from the place of origin and now	3.0	Red	
disp_times	3	Don’t remember	888.0	grey	
disp_times	4	Don’t want to answer	888.0	grey	
month	1	January			
month	2	February			
month	3	March			
month	4	April			
month	5	May			
month	6	June			
month	7	July			
month	8	August			
month	9	September			
month	10	October			
month	11	November			
month	12	December			
housing	1	I am living in a concrete house/finished building	4.0	Green	
housing	2	I am living in an unfinished building	3.0	Lightgreen	
housing	3	I am hosted in a family with charge	1.0	Orange	
housing	4	I am hosted freely in a family	2.0	Yellow	
housing	5	I don’t have shelter / I am living in a public/informal shelter (mosque, school etc)	0.0	Red	
transport	1	No means of transport	0.0	Red	
transport	2	Animal means of transport	1.0	Green	
transport	3	Vehicles	1.0	Blue	
transport	5	Other	1.0	Grey	
educ	1	No education	0.0	Red	
educ	2	Primary	1.0	Orange	
educ	3	Secondary	2.0	Yellow	
educ	5	Institution (2 years after secondary)	3.0	Lightgreen	
educ	6	University or higher education	4.0	Green	
income_source	1	Land cultivation			
income_source	2	Livestock			
income_source	3	Small scale trade			
income_source	4	Aid			
income_source	5	Remittance			
income_source	6	Casual employment			
income_source	7	Formal employment			
symptoms	1	Diarrhea			
symptoms	2	Fever			
symptoms	3	Nausea			
symptoms	4	Vomiting			
symptoms	5	Stomach pain			
symptoms	6	Headache			
symptoms	7	Other			
freq	1	Rarely (once or twice in the past four weeks)	1.0	Yellow	
freq	2	Sometimes (three to ten times in the past four weeks)	2.0	Orange	
freq	3	Often (more than ten times in the past four weeks)	3.0	Red	
freq	4	Never	0.0	Green	
irrigation	1	Less than once a week			
irrigation	2	Once a week			
irrigation	3	Twice a week			
irrigation	4	Three times a week			
irrigation	5	Everyday			
irr_day	1	Once a day			
irr_day	2	Twice a day			
irr_day	3	Three times a day			
free_pay	1	Free			
free_pay	2	Pay			
