assistancetype	region	gender resp	Head_Household	age	HH women	HH girls	HH men	HH boys	HH children	HH total	marital	residency	period	region_origin	disp_times	hosting	hosting_persons	housing	rental_fees	transport	educ	income	incomecontributers	income_source	disabled	disabled_HH	medical_access	referred_by_SI	sickperson	Malnurished_children	CFVA	MPCA	Livestock restoration	Greenhouses	irrigation	training	meals_adults	meals_children	cereals_HDDS	orangeveg_HDDS	rootstuber_HDDS	greenveg_HDDS	otherveg_HDDS	fruits1_HDDS	fruits2_HDDS	meet_HDDS	eggs_HDDS	fishandseafood_HDDS	legume_HDDS	milky_HDDS	fat_HDDS	sweets_HDDS	other_HDDS	MAHFP january	MAHFP february	MAHFP march	MAHFP april	MAHFP may	MAHFP june	MAHFP july	MAHFP august	MAHFP september	MAHFP october	MAHFP november	MAHFP december	freq worryfood	land	training good modern agricultural practices	training Irrigation	training Use of agricultural inputs	training Fertilizer application	training Soil conservation	training Greenhouses	training Flood/drought damage and preparedness	training Basic Accounting	receive_equip	receive_irrig	irrigated_land	receive_seeds	harvest_lastyear	fertilizer Natural fertilizer	fertilizer Pesticide	production	crops Millet	crops Corn (maize)	crops Wheat	crops Barley	crops Sorghum	crops Myriad vegetables	crops Other:	water_source Spring	water_source Network	water_source Borehole	water_source Stored water from reservoir or pond	water_source Wastewater of kitchen	water_source No water source	water_source Other	Goat	Sheep	Camel	Cow	goat_lost	sheep_lost	camel_lost	cow_lost	feeding Sending to public pasture land	feeding Sending to own pasture land	feeding Collecting fodder from own land	feeding Collecting fodder from natural pasture land	feeding Purchasing	feeding Other	fodder Alfalfa	fodder Clover	fodder Hay	fodder Leaves	fodder Straw	fodder Maize	fodder Concentrate	fodder Grasses	fodder Other	sickness Vaccine animals	sickness Referring to animal health center	sickness No action	sickness Other	livelihood_source	livelihood_income	husband_train	sell_prod_marlet	distance_market	product_transport	market_chall Poor roads	market_chall Insecurity	market_chall Transportation costs	market_chall Distance to the markets	market_chall Not enough goods	MPCA_per_month	MPCA_month	CFF_per_month	CFF_month	MPCA_use food	MPCA_use debt	MPCA_use clothe	MPCA_use med	MPCA_use water	MPCA_use fuel	MPCA_use cookgaz	MPCA_use school	MPCA_use business	MPCA_use buylivestock	MPCA_use agrinputs	MPCA_use savings	MPCA_use transport	MPCA_use rent	MPCA_use giftloan	has_savings	debts_purpose Food	debts_purpose Health	debts_purpose Shelter	debts_purpose Funeral	debts_purpose Wedding	debts_purpose Other	debt_level	creditors Family	creditors Friend	creditors Landlord	creditors Bank	creditors Shopkeeper	creditors Other	women_received_cash	included_selection	emp	business Agricultural/farming	business Livestock keeping	business Small shop/kiosk	business Tea shop/cafeteria/hotel	business Miraa seller	business Other	learned_new_skills	plan_look_job	plan_open_bussiness	sessions IYCF	sessions cooking	session water	session other	part_mother_group	child_below2	distance_nut	time_facility	watersource	distance_water	time_water	wells_available	pay_water	treatment Chlorination	treatment Boiling water	treatment Aqua tabs	treatment None	cleaning_freq	cleaning_how	water_transmit_disease	family_skin_pb	diarrhea_cause dirtyhand	diarrhea_cause contamwat	diarrhea_cause noCl	diarrhea_cause toomuchCl	diarrhea_cause contmfood	diarrhea_cause temperature	diarrhea_cause opendefecc	diarrhea_cause unknown	diarrhea_cause other	diarrhea_prevention safewater	diarrhea_prevention washinghands	diarrhea_prevention washinghandsSoap	diarrhea_prevention coveringfood	diarrhea_prevention cleantLat	diarrhea_prevention vaccin	diarrhea_prevention goodHygiene	diarrhea_prevention unknown	diarrhea_prevention other	diarrhea_remedies drugs	diarrhea_remedies HC	diarrhea_remedies ORS	diarrhea_remedies drinkwater	diarrhea_remedies tradmed	diarrhea_remedies nothing	diarrhea_remedies other	toilet	handwash_area	soap_avail	women_men_separated	receive_soap_SI	received_sensitization	attended_mygiene_prom	receive_cholerakits	handwash_times mealPrep	handwash_times servFood	handwash_times eating	handwash_times feedBaby	handwash_times cleanbaby	handwash_times afterToil	handwash_times Garbage	handwash_times Play	handwash_reason	handwash_item	use_latrine	receive_NFI	nonpurchase_reason Because I don’t have enough money (expensive)	nonpurchase_reason I don’t need it	nonpurchase_reason The market is too far	nonpurchase_reason I don’t feel secure enough to go to the market because of the security situation	nonpurchase_reason I cannot move due to my physical condition (persons with disabilities or elder people)	nonpurchase_reason Other	livingcond_adeq	main_need	second_need	third_need	streetlights	member_camp_committee	able_give_feedback_auth	receive_information_disaster	village	tribe	district	benficiarytype	gender HHH	cattle	cattle_lost	MPCA_total	CFF_total	HDDS	FCS	MAHFP	CSI	HHS	educ HHH	income_per_member
Other	Taiz	Male	Yes	35	2	0	0	3	1	6	Married	Host Community	0	0	0	Yes	1	I am living in an unfinished building	No	Vehicles	Secondary	42	0	Aid	No	No	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	3	4	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Rarely (once or twice in the past four weeks)	0.005	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	0.0001	Yes	Yes	1	0	Water pump	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	Other	40	No	No	20.0	Car	1	0	0	0	0	120	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	1	1	0	0	0	1	210	1	0	0	0	0	1	Yes	Yes	Employed	0	0	0	0	0	0	Yes	0	Yes	No	No	No	No	No	No	10.0	15	Piped water into dwelling	0.5	30	1	0.0006	0	0	0	1	Monthly	With soap/detergent	Yes	No	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Family latrine	Yes	Yes	No	Yes	No	Yes	No	0	1	1	0	0	0	0	0	To reduces spread/ transmission of disease	Water alone	Yes	No	0	0	0	0	0	0	No	Health facilities	Roads	Livelihood activities	Yes	No	Yes	No	Bani Saibah Algharab	Alhosho	Al-Shamayateen	FSL Beneficiary	Male	1	0	1680	0	11	Acceptable	12	13	0	2.0	6.0
Other	Taiz	Female	Yes	60	5	0	1	0	1	7	Married	Host Community	0	0	0	Yes	1	I am living in a concrete house/finished building	No	Other	No education	17	1	Livestock	No	No	Yes	No	Yes	No	No	No	Yes	No	No	Yes	2	0	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	1	0	0	0	0	0	0	0	0	0	0	0	Often (more than ten times in the past four weeks)	0.013000000000000001	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	Livestock keeping	17	Yes	No	10.0	Other	0	1	0	0	0	117	16	117	4	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	No	1	1	0	0	0	0	50	0	0	0	0	1	0	Yes	Yes	Unemployed	0	0	0	0	0	0	No	No	No	No	No	No	No	No	No	1.0	10	Piped water into dwelling	20.0	5	0	0.0005	0	0	0	1	Monthly	With soap/detergent	Yes	No	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	Family latrine	Yes	Yes	No	No	Yes	Yes	Yes	1	1	1	0	0	1	0	0	To be healthy	With water and soap	Yes	Yes	1	0	0	0	0	0	Yes	Water points	Livelihood activities	Roads	No	No	No	Yes	Alqazea	Hafomah	Bani Shaibah	FSL Beneficiary	Female	5	0	1872	468	3	Acceptable	11	14	1	0.0	2.125
Other	Taiz	Male	Yes	50	3	0	5	0	0	8	Married	Returnee	0	0	0	No	0	I am living in an unfinished building	Yes	Vehicles	Primary	0	0	Livestock	No	No	Yes	No	No	No	No	No	No	No	Yes	Yes	3	0	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Yes	0	0	1	0	0	0	0	0	0	0	0	0	Often (more than ten times in the past four weeks)	0.013000000000000001	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	0.0009	Yes	Yes	1	0	Handpumps	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	Farming	1	No	No	25.0	Car	1	0	0	0	0	117	14	117	14	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	No	1	1	0	0	0	0	1250	0	1	0	0	0	0	Yes	Yes	Unemployed	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	No	No	0.3	5	Piped water into dwelling	7.0	30	3	0.0006	0	0	0	1	Weekly	With soap/detergent	Yes	No	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	Family latrine	Yes	No	No	Yes	No	No	No	0	0	1	0	0	1	0	0	To reduces spread/ transmission of disease	With water and soap	Yes	No	0	0	0	0	0	0	No	Livelihood activities	Schools	Water points	No	No	Yes	No	Bani Saibah Algharab		Al-Shamayateen	FSL Beneficiary	Male	3	0	1638	1638	3	Acceptable	11	10	6	1.0	0.0
Other	Taiz	Female	Yes	45	2	0	0	0	0	2	Widower	Host Community	0	0	0	No	0	I am living in a concrete house/finished building	No	Vehicles	No education	0	0	Livestock	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	No	2	0	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	Yes	1	1	0	0	0	0	0	0	0	0	0	0	Often (more than ten times in the past four weeks)	0.027000000000000003	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	0.003	Yes	Yes	1	0	Water pump	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	Livestock keeping	2	Yes	No	20.0	Car	0	0	1	1	0	117	14	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	No	0	1	1	0	0	0	33	0	0	0	0	1	0	Yes	Yes	Self-employed	1	1	0	0	0	0	No	No	No	Yes	Yes	No	No	Yes	No	30.0	60	Piped water into dwelling	10.0	60	2	0.0006	1	0	0	0	Monthly	With soap/detergent	Yes	No	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	Family latrine	Yes	Yes	No	Yes	Yes	Yes	No	1	0	1	0	0	1	0	0	To reduces spread/ transmission of disease	With water and ash	Yes	Yes	1	0	0	0	0	0	Yes	Schools	Roads	Health facilities	No	No	No	Yes	Bani Saibah Algharab	Bani Shaibah	Al-Shamayateen	FSL Beneficiary	Female	5	0	1638	0	4	Acceptable	10	4	2	0.0	0.0
Other	Marib	Male	Yes	50	4	2	2	1	2	11	Married	IDP	Over 2 years	Ibb	Only one movement from the place of origin and now	No	0	I am living in a concrete house/finished building	Yes	Vehicles	Primary	41	0	Casual employment	No	No	Yes	No	Yes	No	No	Yes	Yes	No	No	No	3	4	Yes	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	Yes	0	0	0	1	0	0	0	0	0	0	1	0	Never	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	41	No	No	0.8	Car	0	1	0	0	0	120	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	No	1	0	0	0	0	1	833	1	0	0	0	0	0	No	No	Self-employed	0	0	0	0	0	1	No	Yes	Yes	No	No	No	No	No	Yes	0.8	20	Piped water into dwelling	0.5	10	3	0.0005	0	0	0	1	Monthly	Other	Yes	No	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	Family latrine	No	0	No	No	No	No	No	0	0	1	0	0	0	1	0	To reduces spread/ transmission of disease	Water alone	Yes	No	0	0	0	0	0	0	Yes	Health facilities	Schools	Livelihood activities	No	No	No	No		Al Alatt	Alnoqaimah	Emergency cash assistance beneficiary	Male	0	0	360	0	4	Acceptable	10	0	0	1.0	3.4166666666666665
Other	Taiz	Female	No	20	3	2	1	1	2	9	Married	IDP	Over 2 years	Taiz	Only one movement from the place of origin and now	No	0	I am living in a concrete house/finished building	No	Vehicles	Primary	25	0	Casual employment	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	No	3	3	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	Sometimes (three to ten times in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	25	No	No	25.0	Car	0	0	1	0	0	40	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	No	1	1	0	0	0	0	83	1	1	0	0	1	0	Yes	Yes	Self-employed	0	0	0	0	0	1	No	Yes	Yes	No	Yes	No	No	Yes	Yes	5.0	30	Piped water into dwelling	1.0	5	2	0.0014	0	0	0	1	Monthly	Other	Yes	No	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	Family latrine	No	0	No	Yes	Yes	Yes	Yes	0	0	1	0	0	0	1	0	To reduces spread/ transmission of disease	With water and soap	Yes	Yes	1	0	0	0	0	0	No	Health facilities	Livelihood activities	Schools	No	No	No	Yes	Alqawrah	Alkhawrah	Al Mashawilah 	Emergency cash assistance beneficiary	Male	0	0	120	0	1	Borderline	12	12	1	1.0	2.5
Other	Marib	Male	Yes	40	2	2	3	0	0	7	Married	Refugee	0	0	0	No	0	I am hosted freely in a family	No	Vehicles	Institution (2 years after secondary)	33	0	Formal employment	No	No	Yes	No	No	No	Yes	No	No	No	No	No	3	3	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Never	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	33	No	No	80.0	Car	0	0	1	1	0	0	0	117	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	1	0	0	0	0	0	41	0	0	0	0	1	0	Yes	No	Employed	0	0	0	0	0	0	No	0	Yes	No	No	No	No	No	Yes	8.0	40	Piped water into dwelling	0.1	3	5	0.0005	0	0	0	1	Monthly	Other	Yes	Yes	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	Family latrine	No	0	Yes	No	No	No	No	0	0	1	0	0	0	1	0	To reduces spread/ transmission of disease	Water alone	Yes	No	0	0	0	0	0	0	Yes	Livelihood activities	Health facilities	Solar streetlight	No	No	No	No	"Almanswrah

"	Bajlah	Alwadi	Emergency cash assistance beneficiary	Male	0	0	0	351	4	Acceptable	12	4	0	3.0	4.125
Other	Taiz	Male	Yes	85	5	0	5	0	0	10	Married	Host Community	0	0	0	Yes	1	I am living in a concrete house/finished building	No	Vehicles	No education	25	1	Remittance	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	3	0	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Never	0.9	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	0.00021	Yes	Yes	1	0	Water pump	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Farming	25	Yes	No	12.0	Car	1	0	1	0	0	55	10	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	No	1	1	0	0	0	0	17	0	0	0	0	1	0	Yes	Yes	Self-employed	1	1	0	0	0	0	No	No	No	Yes	No	No	No	No	No	12.0	30	Piped water into dwelling	0.5	15	5	0.0009	1	0	0	0	Monthly	Other	Yes	No	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	Family latrine	Yes	Yes	Yes	Yes	Yes	Yes	No	0	0	1	0	0	0	1	0	To reduces spread/ transmission of disease	Water alone	Yes	Yes	1	1	0	0	0	0	No	Solar streetlight	Health facilities	Roads	No	No	No	No	Alshaban	Alsana	Al-Ma’afer	FSL Beneficiary	Male	4	0	550	0	5	Acceptable	12	0	0	0.0	2.272727272727273
FSL	Taiz	Male	Yes	70	6	0	1	0	0	7	Married	Host Community	0	0	0	Yes	7	I am living in a concrete house/finished building	No	No means of transport	No education	18	1	Land cultivation	No	No	Yes	No	No	No	No	No	No	Yes	No	No	3	0	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Never	0.44	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	0.0021	Yes	Yes	1	0	Tractor	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	Farming	17	No	No	11.0	Car	1	0	0	0	0	117	14	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	No	1	1	0	0	0	0	15	0	1	0	0	1	0	Yes	Yes	Unemployed	0	0	0	0	0	0	Yes	No	Yes	Yes	No	No	No	No	No	10.0	20	Piped water into dwelling	3.0	30	5	0.0009	1	0	0	0	Monthly	With soap/detergent	Yes	No	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	Communal latrine	No	0	No	Yes	Yes	No	No	0	0	1	0	0	1	0	0	To reduces spread/ transmission of disease	Water alone	Yes	Yes	1	1	0	0	0	0	Yes	Latrines	Water points	Health facilities	No	No	Yes	No	Alshaban	Alsana	Al-Ma’afer	FSL Beneficiary	Male	4	0	1638	0	4	Borderline	12	14	0	0.0	2.25
Other	Taiz	Female	Yes	80	2	0	3	0	0	5	Widower	Host Community	0	0	0	No	0	I am living in a concrete house/finished building	No	Vehicles	No education	53	0	Land cultivation	No	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	3	0	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	No	No	Yes	0	0	0	0	1	0	0	0	0	0	0	0	Sometimes (three to ten times in the past four weeks)	0.044000000000000004	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	0.0012	Yes	Yes	1	0	Handpumps	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	Farming	6	No	No	20.0	Car	0	0	1	0	0	117	12	117	12	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	No	1	1	0	0	0	0	65	0	1	0	0	1	0	Yes	Yes	Self-employed	1	0	0	0	0	0	No	No	No	No	No	No	No	No	No	10.0	20	Piped water into dwelling	0.05	30	2	0.00022	0	0	0	1	Monthly	With soap/detergent	Yes	No	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	Family latrine	No	0	No	No	No	No	Yes	0	0	1	0	0	1	0	0	To be clean	With water and soap	Yes	No	0	0	0	0	0	0	Yes	Roads	Water points	Solar streetlight	No	No	Yes	No	Almaafer	Alqaisi	Alturbah	FSL Beneficiary	Female	2	0	1404	1404	7	Acceptable	11	8	2	0.0	8.833333333333334
